sub_category_name,pdp_url
Merev falú családi medencék,https://auchan.hu/shop/bestway-femvazas-medence-szett-vizforgatoval-305x76-cm-56679.p-17979
Merev falú családi medencék,https://auchan.hu/shop/bestway-femvazas-medence-vizforgatoval-366x76-cm-56681.p-143951
Merev falú családi medencék,https://auchan.hu/shop/bestway-steel-pro-femvazas-medence-szett-366x122-cm.p-410837
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/mspa-szurobetet-felfujhato-jacuzzihoz-2-db.p-30412
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/bestway-lay-z-spa-hoszigetelt-masszazsmedence-takaro-180x66-cm.p-764328
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/bestway-baja-spa-masszazsmedence-175x66-cm.p-333308
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/bestway-lay-z-spa-san-francisco-hydrojet-pro-felfujhato-masszazsmedence-230x230x71-cm-60161.p-656072
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/mspa-felfujhato-jacuzzi-medence-6-szemelyes-kek.p-30410
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/intex-purespa-bubble-masszazsmedence-196x71-cm-28426.p-935701
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/bestway-lay-z-spa-hollywood-airjet-felfujhato-masszazsmedence-196x66cm-60059.p-510623
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/bestway-lay-z-spa-palm-springs-airjet-masszazsmedence-196x71-cm-hmc-010.p-342127
"Masszázsmedencék, jakuzzi",https://auchan.hu/shop/intex-purespa-jet-and-bubble-deluxe-masszazsmedence-201x71-cm-28458.p-935704
Masszázsmedence kiegészítők,https://auchan.hu/shop/intex-spa-pohartarto-26x22x18-cm-28500.p-935707
Masszázsmedence kiegészítők,https://auchan.hu/shop/intex-medence-szurobetet-masszazsmedencekhez-s1-tipusu-duopack-29001.p-935719
