"data_source_url","project_name"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Thudarum - Pemari Video Song | Mohanlal, Shobana | Jakes Bejoy | Tharun Moorthy | M Renjith"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Kondattam Video | Thudarum | Mohanlal, Shobana, Jakes Bejoy, Tharun Moorthy, MRenjith | MG SREEKUMAR"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Thudarum - Kanmanipoove Video | Mohanlal | Jakes Bejoy | Shobana | M.G Sreekumar, Tharun Moorthy"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Thudarum - Kadha Thudarum Video | Mohanlal, Shobana | Jakes Bejoy | Tharun Moorthy | M Renjith"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Venmathi Video Song - Hridayapoorvam | Mohanlal | Sathyan Anthikad | Sid Sriram | Justin Prabhakaran"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Thudarum - Jukebox | Mohanlal, Jakes Bejoy, Shobana, TharunMoorthy, MRenjith"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Ilaveyil Video Song | Marakkar | M.G Sreekumar | Shreya Ghoshal | Mohanlal | Keerthi Suresh"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Kanmanipoove | Thudarum | Mohanlal | Jakes Bejoy | Shobana | M.GSreekumar, TharunMoorthy, MRenjith,"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Thakilu Pukilu Video Song | 4K Remastered | Ravanaprabhu | Mohanlal | MG Sreekumar | Sujatha Mohan"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","#LaLaLaletta #Mohanlal #ManjuWarrier #IndrajithSukumaran #PrarthanaIndrajith #SajidYahiya #shorts"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Karutha Penne ❤️ | Thenmaavin Kombathu | Mohanlal | Shobana | Berny Ignatius"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","The legend 📈🔥 #viral#movie #trending#malayalamcinema #love#mohanlal #youtubeshorts#shorts #ytshorts"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Mathew theme🔥 | #sunmusic #jailer #mohanlal #superstarrajinikanth"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Drishyam ☠️🥶 #mollywood #mohanlal #jeethujoseph #drishyam3 #drishyam #shortsfeed #trending #cinema"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Kondattam 8K/4K Video Song | Thudarum | Mohanlal, Shobana | Jakes Bejoy"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Thudarum - Kanmanipoove 8K/4K Video Song | Mohanlal | Jakes Bejoy | Shobana | M.G Sreekumar"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","BHA BHA BA - Azhinjattam Lyric Video | Mohanlal | Dilieep | Shaan Rahman | MG Sreekumar | Vineeth"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Drishyam 3 - Essence of Drishyam | Oro Theeravum | New Malayalam Song | Drishyam Movie Song | ദൃശ്യം"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Drishyam 3 - Ini Varumo Lyric Video | Mohanlal | Jeethu Joseph | Meena | Anil Johnson | Evugin"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","🔴DRISHYAM 3 THEATRE RESPONSE | DRISHYAM 3 MOVIE REVIEW | MOHANLAL"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","The Complete Actor | Mohanlal | Lalettan Birthday Special | JioHotstar"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Venmathi Lyrical Video - Hridayapoorvam | Mohanlal | Sathyan Anthikad |Sid Sriram|Justin Prabhakaran"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","ഒരു ദിനം | Big Brother | Oru Dinam | Video Song | Mohanlal | Siddique | Deepak Dev"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","The Legends Mohanlal & Usha Uthup| @supergvlog #mohanlal #ushauthup #love #trending #thuglife"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Munthirivallikal song shooting #munthirivallikal #arriflex #mohanlal #mohanlalsong #mohanlalfanshub"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","“The Iconic Step Is Back!”"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Mohanlal with Bhavana"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","L📈 #mohanlal #drishyam3 #jithujoseph #malayalam #malayalamcinema #shorts"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Thakilu Pukilu | Video Song | Ravanaprabhu | Movie Song | Mohanlal |Jagathi |Jagadish| Kashmera Shah"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Thudarum - Kaderum Komba - Jail Fight Video | Mohanlal, Shobana | Jakes Bejoy"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","BHA BHA BA - Azhinjattam Video Song  | Mohanlal | Dilieep | Shaan Rahman | MG Sreekumar | Vineeth"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Entharo Mahanu Bhavulu Video Song | Devadoothan | Vidyasagar | Mohanlal | Thyagaraja"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","La La Laletta -Mohanlal |Manju Warrier, Indrajith Sukumaran |Prarthana Indrajith |Sajid Y |Malayalam"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Mix - BHA BHA BA - Azhinjattam Lyric Video | Mohanlal | Dilieep | Shaan Rahman | MG Sreekumar | Vineeth"
"https://www.youtube.com/results?search_query=mohanlal+new+mobie+songs","Pathivo Maarum"
